,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,retweet_count,favorite_count,jpg_url,predicted_breed
29,884562892145688576,2017-07-11 00:00:02 +0000,This is Kevin. He's just so happy. 13/10 what is your secret Kevin,13,10,Kevin,4873,24216,https://pbs.twimg.com/media/CUBqKnLWwAA5OQB.jpg,border collie
33,883482846933004288,2017-07-08 00:28:19 +0000,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10",5,10,Bella,9967,45796,https://pbs.twimg.com/media/CUDigRXXIAATI_H.jpg,italian greyhound
35,882992080364220416,2017-07-06 15:58:11 +0000,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy,13,10,Rusty,3920,23870,https://pbs.twimg.com/media/CUEDSMEWEAAuXVZ.jpg,miniature schnauzer
36,882762694511734784,2017-07-06 00:46:41 +0000,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl,12,10,Gus,4927,28223,https://pbs.twimg.com/media/CUELa0NUkAAscGC.jpg,maltese dog
37,882627270321602560,2017-07-05 15:48:34 +0000,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi),13,10,Stanley,6098,27806,https://pbs.twimg.com/media/CUES51dXIAEahyG.jpg,airedale
39,880935762899988482,2017-06-30 23:47:07 +0000,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking,13,10,Louis,2785,16955,https://pbs.twimg.com/media/CUHr8WbWEAEBPgf.jpg,chihuahua
41,880465832366813184,2017-06-29 16:39:47 +0000,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop,12,10,Bella,6295,28425,https://pbs.twimg.com/media/CUIV6F7XIAA1tAM.jpg,pembroke
44,879862464715927552,2017-06-28 00:42:13 +0000,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10,13,10,Romeo,3504,22250,https://pbs.twimg.com/media/CUI6uuaW4AAvCIs.jpg,golden retriever
45,879492040517615616,2017-06-27 00:10:17 +0000,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10,12,10,Bailey,3193,23338,https://pbs.twimg.com/media/CUJEuRIXIAAPDLt.jpg,giant schnauzer
46,879415818425184262,2017-06-26 19:07:24 +0000,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici),13,10,Duddles,44270,105574,https://pbs.twimg.com/media/CUJIFoJWsAAL3Dc.jpg,toy poodle
47,879376492567855104,2017-06-26 16:31:08 +0000,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get blocked by,12,10,Jack,3129,16719,https://pbs.twimg.com/media/CUJJLtWWsAE-go5.jpg,soft-coated wheaten terrier
48,879050749262655488,2017-06-25 18:56:45 +0000,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/10 would still pet,11,10,Steven,4731,22512,https://pbs.twimg.com/media/CUJPNjOWsAAZRqP.jpg,golden retriever
49,878776093423087618,2017-06-25 00:45:22 +0000,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth,13,10,Snoopy,4149,19360,https://pbs.twimg.com/media/CUJXpRBXIAAN0yz.jpg,rottweiler
52,878057613040115712,2017-06-23 01:10:23 +0000,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved,14,10,Emmy,6865,41926,https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg,saint bernard
53,877736472329191424,2017-06-22 03:54:17 +0000,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again,13,10,Aja,19210,79641,https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg,rottweiler
55,877201837425926144,2017-06-20 16:29:50 +0000,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop,12,10,Nelly,5622,27070,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,tibetan terrier
56,876838120628539392,2017-06-19 16:24:33 +0000,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately,12,10,Ginger,3372,20615,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,toy poodle
58,876484053909872640,2017-06-18 16:57:37 +0000,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy,13,10,Benedict,2410,18722,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,chihuahua
60,875747767867523072,2017-06-16 16:11:53 +0000,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl",13,10,Goose,4316,25145,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,beagle
64,874296783580663808,2017-06-12 16:06:11 +0000,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract,13,10,Jed,4139,26039,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,pomeranian
68,872261713294495745,2017-06-07 01:19:32 +0000,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here. 13/10 blessed as h*ck,13,10,Harry,6401,34272,https://pbs.twimg.com/media/CUSBemVUEAAn-6V.jpg,flat-coated retriever
70,871762521631449091,2017-06-05 16:15:56 +0000,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10,12,10,Rover,3518,20300,https://pbs.twimg.com/media/CUS4WJ-UsAEJj10.jpg,malamute
71,871032628920680449,2017-06-03 15:55:36 +0000,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking",13,10,Boomer,3858,22724,https://pbs.twimg.com/media/CUTN5V4XAAAIa4R.jpg,malamute
73,870308999962521604,2017-06-01 16:00:09 +0000,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking",13,10,Rumble,4225,21931,https://pbs.twimg.com/media/CUTyJpHWcAATl0O.jpg,labrador retriever
74,869772420881756160,2017-05-31 04:27:59 +0000,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly",13,10,Dewey,10236,42650,https://pbs.twimg.com/media/CUWdPsqWcAERQVv.jpg,pembroke
75,869227993411051520,2017-05-29 16:24:37 +0000,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved. 13/10 would boop well,13,10,Gizmo,3862,20594,https://pbs.twimg.com/media/CUXSwy8W4AA6uet.jpg,chihuahua
76,868880397819494401,2017-05-28 17:23:24 +0000,This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter,14,10,Walter,14836,66188,https://pbs.twimg.com/media/CUXj4SgXAAETlu6.jpg,blenheim spaniel
82,866450705531457537,2017-05-22 00:28:40 +0000,"This is Jamesy. He gives a kiss to every other pupper he sees on his walk. 13/10 such passion, much tender",13,10,Jamesy,36206,123887,https://pbs.twimg.com/media/CUZE4IWW4AAZmDf.jpg,king penguin
84,865359393868664832,2017-05-19 00:12:11 +0000,This is Sammy. Her tongue ejects without warning sometimes. It's a serious condition. Needs a hefty dose from a BlepiPen. 13/10,13,10,Sammy,5146,26855,https://pbs.twimg.com/media/CUb6ebKWcAAJkd0.jpg,staffordshire bullterrier
85,865006731092295680,2017-05-18 00:50:50 +0000,This is Nelly. He really hopes you like his Hawaiian shirt. He already tore the tags off. 13/10 h*ck of a puppurchase,13,10,Nelly,7905,28424,https://pbs.twimg.com/media/CUcECBYWcAAzFRg.jpg,basenji
87,864279568663928832,2017-05-16 00:41:21 +0000,This is Meatball. He doing what's known in the industry as a mid-strut mlem. H*ckin fancy boy. 12/10 I'd do anything for Meatball,12,10,Meatball,3137,14852,https://pbs.twimg.com/media/CUcfnWlWsAAzlwE.jpg,lakeland terrier
88,864197398364647424,2017-05-15 19:14:50 +0000,This is Paisley. She ate a flower just to prove she could. Savage af. 13/10 would pet so well,13,10,Paisley,9239,30660,https://pbs.twimg.com/media/CUcjtL8WUAAAJoz.jpg,american staffordshire terrier
89,863553081350529029,2017-05-14 00:34:33 +0000,This is Neptune. He's a backpup vocalist for the Dixie Chicks. 13/10 (vid by @AmiWinehouse),13,10,Neptune,4305,15555,https://pbs.twimg.com/media/CUc64knWoAkZt70.jpg,shih-tzu
91,862831371563274240,2017-05-12 00:46:44 +0000,"This is Zooey. She's the world's biggest fan of illiterate delivery people. 13/10 not your fault they don't listen, Zooey",13,10,Zooey,5260,19544,https://pbs.twimg.com/media/CUd0sSvWsAA85wO.jpg,miniature schnauzer
92,862722525377298433,2017-05-11 17:34:13 +0000,"This is Dave. He passed the h*ck out. It's barely the afternoon on a Thursday, Dave. Get it together. Still 11/10 would boop mid-snooze",11,10,Dave,3658,17395,https://pbs.twimg.com/media/CUd2ieCUcAAexyT.jpg,pekinese
93,862457590147678208,2017-05-11 00:01:27 +0000,"This is Jersey. He likes to watch movies, but only if you watch with him. Enjoys horror films like The Bababork and H*ckraiser. 13/10",13,10,Jersey,5138,20935,https://pbs.twimg.com/media/CUd5gBGWwAA0IVA.jpg,komondor
94,861005113778896900,2017-05-06 23:49:50 +0000,This is Burt. He thinks your thesis statement is comically underdeveloped. 12/10 intellectual af,12,10,Burt,3949,17074,https://pbs.twimg.com/media/CUeKTeYW4AEr_lx.jpg,beagle
96,860524505164394496,2017-05-05 16:00:04 +0000,This is Carl. He likes to dance. Doesn't care what you think about it. 13/10 h*ckin confident pup,13,10,Carl,5474,24127,https://pbs.twimg.com/media/CUg9gBvWoAAmx-2.jpg,golden retriever
97,860276583193509888,2017-05-04 23:34:55 +0000,This is Jordy. He likes to go on adventures and watch the small scaly underwater dogs with fins pass him by. 12/10 peaceful as h*ck,12,10,Jordy,3615,18707,https://pbs.twimg.com/media/CUhQIAhXAAA2j7u.jpg,teddy
103,858107933456039936,2017-04-28 23:57:28 +0000,This is Wyatt. He had an interview earlier today. Was just told he didn't get the job. A h*ckin injustice. Still 12/10 keep your chin pup,12,10,Wyatt,3037,16134,https://pbs.twimg.com/media/CUi6geuUYAIvE9n.jpg,pug
105,857263160327368704,2017-04-26 16:00:39 +0000,This is Oscar and Oliver. Oliver shrunk Oscar. Oscar isn't pleased about it. Quite pupset tbh. Oliver doesn't seem to mind. Both 13/10,13,10,Oscar,4736,20559,https://pbs.twimg.com/media/CUjKHs0WIAECWP3.jpg,chihuahua
106,857029823797047296,2017-04-26 00:33:27 +0000,This is Zeke. He performs group cheeky wink tutorials. Pawfect execution here. 12/10 would wink back,12,10,Zeke,4188,19449,https://pbs.twimg.com/media/CUl9PGBVEAUV3Wz.jpg,pug
107,856543823941562368,2017-04-24 16:22:16 +0000,This is Callie. She'll be your navigator today. Takes her job very seriously. Will shift for you. One ear always in the pupholder. 12/10,12,10,Callie,3021,16735,https://pbs.twimg.com/media/CUmJBS5WUAAKtrP.jpg,golden retriever
112,854732716440526848,2017-04-19 16:25:34 +0000,This is Marlee. She fetched a flower and immediately requested that it be placed behind her ear. 12/10 elegant af,12,10,Marlee,6455,23621,https://pbs.twimg.com/media/CUrFUvDVAAA9H-F.jpg,toy poodle
113,854482394044301312,2017-04-18 23:50:52 +0000,This is Arya. She can barely contain her excitement for more peanut butter. Also patriotic af. 13/10,13,10,Arya,7278,30340,https://pbs.twimg.com/media/CUrIK1DWoAAhECq.jpg,chihuahua
118,852553447878664193,2017-04-13 16:05:56 +0000,This is Jarod. He likes having his belly brushed. Tongue ejects when you hit the right spot. 13/10 downright h*ckin adorable,13,10,Jarod,3748,17054,https://pbs.twimg.com/media/CUsx8q_WUAA-m4k.jpg,pomeranian
121,850753642995093505,2017-04-08 16:54:09 +0000,"This is Kyle. He made a joke about your shoes, then stuck his tongue out at you. Uncalled for. Step the h*ck up Kyle. 11/10 would forgive",11,10,Kyle,9952,32451,https://pbs.twimg.com/media/CUxUSuaW4AAdQzv.jpg,beagle
122,850145622816686080,2017-04-07 00:38:06 +0000,This is Riley. He's making new friends. Jubilant as h*ck for the fun times ahead. 11/10 for all pups pictured,11,10,Riley,4099,17081,https://pbs.twimg.com/media/CUx8JSEXIAU6zPp.jpg,blenheim spaniel
124,849412302885593088,2017-04-05 00:04:08 +0000,This is Noosh. He noticed you were in the shower and thought you could use some company. 12/10 h*ckin loyal,12,10,Noosh,3371,16629,https://pbs.twimg.com/media/CUyUSuWXIAAZKYF.jpg,malamute
125,849051919805034497,2017-04-04 00:12:06 +0000,This is Kevin. Kevin doesn't give a single h*ck. Will sit in the fountain if he wants to. 13/10 churlish af,13,10,Kevin,9169,44534,https://pbs.twimg.com/media/CUygHhFXAAAwNXv.jpg,german short-haired pointer
128,848212111729840128,2017-04-01 16:35:01 +0000,"This is Jerry. He's doing a distinguished tongue slip. Slightly patronizing tbh. You think you're better than us, Jerry? 6/10 hold me back",6,10,Jerry,3322,17151,https://pbs.twimg.com/media/CU1zsMSUAAAS0qW.jpg,irish terrier
129,847962785489326080,2017-04-01 00:04:17 +0000,This is Georgie. He's very shy. Only puppears when called. Aggressively average at fetch. Unique front paws. Looks slippery. 10/10 would pet,10,10,Georgie,5516,24691,https://pbs.twimg.com/media/CU2l7yvXAAUyYIJ.jpg,english springer
130,847842811428974592,2017-03-31 16:07:33 +0000,"This is Rontu. He is described as a pal, cuddle bug, protector and constant shadow. 12/10, but he needs your help

https://t.co/zK4cpKPFfU",12,10,Rontu,1451,5765,https://pbs.twimg.com/media/CU2wPyWWUAAb1MJ.jpg,whippet
131,847251039262605312,2017-03-30 00:56:03 +0000,This is Furzey. He's doing an elevated sandy zoom. Adjusts ears to steer. 12/10 would pet mid flight,12,10,Furzey,4625,21481,https://pbs.twimg.com/media/CU3HlZtW4AAezbt.jpg,maltese dog
132,846874817362120707,2017-03-29 00:01:05 +0000,"This is Tuck. As you can see, he's rather h*ckin rare. Taken seriously until his legs are seen. Tail stuck in a permanent zoom. 13/10",13,10,Tuck,4235,21139,https://pbs.twimg.com/media/CU3RLqfW4AE0pbA.jpg,chihuahua
136,844580511645339650,2017-03-22 16:04:20 +0000,This is Charlie. He wants to know if you have a moment to talk about washing machine insurance policies. 11/10 would hear him out,11,10,Charlie,3409,17400,https://pbs.twimg.com/media/CU64WOlWcAA37TV.jpg,dandie dinmont
137,844223788422217728,2017-03-21 16:26:50 +0000,This is Margo. She just dug pup a massive hole. Can't wait for you to see it. H*ckin proud of herself. 12/10 would forgive then pet,12,10,Margo,2378,14399,https://pbs.twimg.com/media/CU67jGSUkAAk_1Y.jpg,ibizan hound
140,843604394117681152,2017-03-19 23:25:35 +0000,This is Hank. He's been outside for 3 minutes and already made a friend. Way to go Hank. 11/10 for both,11,10,Hank,2978,17863,https://pbs.twimg.com/media/CU7d2vKUcAAFZyI.jpg,pomeranian
142,842535590457499648,2017-03-17 00:38:32 +0000,This is Winnie. She lost her body saving a children's hospital from an avalanche. 13/10 what a h*ckin hero,13,10,Winnie,3804,19157,https://pbs.twimg.com/media/CU8IY0pWIAA2AJ-.jpg,norfolk terrier
144,842115215311396866,2017-03-15 20:48:07 +0000,This is Bentley. It's his first time going to the beach. I think he's a fan. 12/10 would build sand castles with,12,10,Bentley,3283,14852,https://pbs.twimg.com/media/CU8XW2dWwAA-Lmc.jpg,labrador retriever
146,841077006473256960,2017-03-13 00:02:39 +0000,This is Dawn. She's just checking pup on you. Making sure you're doing okay. 12/10 she's here if you need her,12,10,Dawn,5772,24308,https://pbs.twimg.com/media/CU8mlhoVAAAteS5.jpg,pembroke
149,840268004936019968,2017-03-10 18:27:58 +0000,This is Monty. He makes instantly regrettable decisions. Couldn't help himself. It looked like a ghost lollipop. 12/10 mistake happen,12,10,Monty,6249,20463,https://pbs.twimg.com/media/CU8-puBWwAAR8Xl.jpg,labrador retriever
152,838561493054533637,2017-03-06 01:26:54 +0000,This is Walter. His owner has been watching all the Iditarod coverage and is convinced Walter can be a sled dog. 13/10 Walter isn't so sure,13,10,Walter,1448,11598,https://pbs.twimg.com/media/CVBILUgVAAA1ZUr.jpg,malinois
153,838083903487373313,2017-03-04 17:49:08 +0000,This is Daisy. She's puppears to be rare as all h*ck. Only seven like her currently domesticated. 13/10 pettable af,13,10,Daisy,3445,18762,https://pbs.twimg.com/media/CVBktzQXAAAPpUA.jpg,yorkshire terrier
155,837482249356513284,2017-03-03 01:58:22 +0000,This is Waffles. He's a ship captain in real life and in @GoodDogsGame. Must've gotten to the max level (wink) 13/10 would sail with,13,10,Waffles,485,4082,https://pbs.twimg.com/media/CVBrhXoWIAAox_C.jpg,labrador retriever
156,836989968035819520,2017-03-01 17:22:13 +0000,This is Mookie. He really enjoys shopping but not from such high altitudes. Doin him quite the concern. 12/10 someone lower him,12,10,Mookie,2510,13558,https://pbs.twimg.com/media/CVCE9uYXIAEtSzR.jpg,rottweiler
157,836753516572119041,2017-03-01 01:42:39 +0000,This is Meera. She just heard about taxes and how much a doghouse in a nice area costs. Not pupared to be a  doggo anymore. 12/10,12,10,Meera,5056,20489,https://pbs.twimg.com/media/CVCIQX7UkAEzqh_.jpg,chihuahua
161,834931633769889797,2017-02-24 01:03:08 +0000,This is Tucker. He decided it was time to part ways with his favorite ball. We captured the emotional farewell on camera. 12/10,12,10,Tucker,1812,11564,https://pbs.twimg.com/media/CVHG6_AWwAEJf_u.jpg,pug
163,834209720923721728,2017-02-22 01:14:30 +0000,This is Wilson. He's aware that he has something on his face. Waiting for you to get it for him. 12/10,12,10,Wilson,5272,22005,https://pbs.twimg.com/media/CVHdK-7WwAAsuyc.jpg,gordon setter
164,834167344700198914,2017-02-21 22:26:07 +0000,This is Sunshine. She doesn't believe in personal space. Eyes pretty far apart for a dog. Has horns (whoa). 11/10 would pet with wonder,11,10,Sunshine,3991,16817,https://pbs.twimg.com/media/CVJ2yR2UwAAdCzU.jpg,kuvasz
165,834086379323871233,2017-02-21 17:04:24 +0000,This is Lipton. He's a West Romanian Snuggle Pup. Only a few left of his kind. 12/10 would boop,12,10,Lipton,2429,13938,https://pbs.twimg.com/media/CVKC1IfWIAAsQks.jpg,toy poodle
166,833722901757046785,2017-02-20 17:00:04 +0000,This is Bronte. She's fairly h*ckin aerodynamic. Also patiently waiting for mom to make her a main character. 13/10 would be an honor to pet,13,10,Bronte,3523,22065,https://pbs.twimg.com/tweet_video_thumb/CVKtH-4WIAAmiQ5.png,dalmatian
167,833124694597443584,2017-02-19 01:23:00 +0000,This is Gidget. She's a spy pupper. Stealthy as h*ck. Must've slipped pup and got caught. 12/10 would forgive then pet,12,10,Gidget,5328,21594,https://pbs.twimg.com/media/CVLy3zFWoAA93qJ.jpg,labrador retriever
170,832636094638288896,2017-02-17 17:01:29 +0000,This is Orion. He just got back from the dentist. Cavity free af. 12/10 would give extra pats,12,10,Orion,3076,16959,https://pbs.twimg.com/media/CVOqW8eUkAESTHj.jpg,pug
171,832369877331693569,2017-02-16 23:23:38 +0000,This is Charlie. He fell asleep on a heating vent. Would puppreciate your assistance. 11/10 someone help Charlie,11,10,Charlie,3509,18340,https://pbs.twimg.com/media/CVPDAR9XIAAm8QB.jpg,pug
172,832032802820481025,2017-02-16 01:04:13 +0000,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN",12,10,Miguel,5138,19123,https://pbs.twimg.com/media/CVQ3EDdWIAINyhM.jpg,beagle
174,831670449226514432,2017-02-15 01:04:21 +0000,This is Daisy. She has a heart on her butt. 13/10 topical af,13,10,Daisy,1999,11182,https://pbs.twimg.com/media/CVROAIfWsAECA5t.jpg,irish terrier
176,831322785565769729,2017-02-14 02:02:51 +0000,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly,12,10,Pete,1679,9814,https://pbs.twimg.com/media/CVRcxJ-WsAAXOhO.jpg,chihuahua
178,831309418084069378,2017-02-14 01:09:44 +0000,This is Scooter and his son Montoya.  Scooter is a wonderful father. He takes very good care of Montoya. Both 12/10 would pet at same time,12,10,Scooter,2685,12537,https://pbs.twimg.com/media/CVRkLuJWUAAhhYp.jpg,pug
179,831262627380748289,2017-02-13 22:03:49 +0000,This is Tucker. He's feeling h*ckin festive and his owners don't have the heart to tell him Christmas is over. 12/10,12,10,Tucker,2265,12762,https://pbs.twimg.com/media/CVUUU_EWoAAxABV.jpg,cocker spaniel
180,830583320585068544,2017-02-12 01:04:29 +0000,This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well,13,10,Lilly,18612,71669,https://pbs.twimg.com/media/CVUiMUeW4AEQgkU.jpg,border collie
183,829374341691346946,2017-02-08 17:00:26 +0000,This is Astrid. She's a guide doggo in training. 13/10 would follow anywhere,13,10,Astrid,10307,37147,https://pbs.twimg.com/media/CVWJkJXWsAInlZl.jpg,great pyrenees
184,829141528400556032,2017-02-08 01:35:19 +0000,This is Malcolm. He goes from sneaky tongue slip to flirt wink city in a matter of seconds. 12/10 would hug softly,12,10,Malcolm,8205,26302,https://pbs.twimg.com/media/CVWRyylWIAAMltv.jpg,toy poodle
185,828770345708580865,2017-02-07 01:00:22 +0000,This is Alfie. He's your Lyft for tonight. Kindly requests you buckle pup and remain reasonably calm during the ride. 13/10 he must focus,13,10,Alfie,6502,27416,https://pbs.twimg.com/media/CVWicBbUYAIomjC.jpg,golden retriever
186,828708714936930305,2017-02-06 20:55:28 +0000,This is Fiona. She's an exotic dog. Seems rather impatient. Jaw extension on another level tho. Looks slippery. 10/10 would still pet,10,10,Fiona,12402,39253,https://pbs.twimg.com/media/CVWy9v-VAAALSoE.jpg,chesapeake bay retriever
187,828409743546925057,2017-02-06 01:07:28 +0000,This is Mutt Ryan. He's quite confident at the moment. 12/10 rise pup!,12,10,Mutt,1272,6731,https://pbs.twimg.com/media/CVZjOktVAAAtigw.jpg,pembroke
